geneID	gff_annotation	gff_annotation2
113031945	LOC113031945	apolipoprotein C-I-like
113032817	apoc2	apolipoprotein C2
113031572	bcam	basal cell adhesion molecule (Lutheran blood group)%2C transcript variant X1
113032415	LOC113032415	40S ribosomal protein S19
113032325	LOC113032325	adenosine receptor A1-like
113032409	cadm4	cell adhesion molecule 4%2C transcript variant X2
113032388	LOC113032388	uncharacterized LOC113032388%2C transcript variant X2
113031988	taf12	TATA-box binding protein associated factor 12
113031975	rab42	RAB42%2C member RAS oncogene family
113031974	LOC113031974	CTP synthase 1-like%2C transcript variant X2
113031525	cited2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
113031524	scmh1	Scm polycomb group protein homolog 1%2C transcript variant X2
113032252	LOC113032252	forkhead box protein O1-B-like
113031375	med18	mediator complex subunit 18%2C transcript variant X1
113031376	LOC113031376	uncharacterized LOC113031376%2C transcript variant X1
113031372	LOC113031372	cytochrome P450 4B1-like%2C transcript variant X1
113031370	LOC113031370	cytochrome P450 4B1-like%2C transcript variant X2
113031374	LOC113031374	uncharacterized LOC113031374%2C transcript variant X2
113031371	LOC113031371	cytochrome P450 4B1-like
113032442	ppp1r8	protein phosphatase 1 regulatory subunit 8%2C transcript variant X1
113032885	LOC113032885	small Cajal body-specific RNA 1
113032441	themis2	thymocyte selection associated family member 2
113031992	rpa2	replication protein A2%2C transcript variant X1
113031990	smpdl3b	sphingomyelin phosphodiesterase acid like 3B
113031991	mecr	mitochondrial trans-2-enoyl-CoA reductase
113031993	LOC113031993	protein lin-28 homolog A-like
113032477	maneal	mannosidase endo-alpha like
113032478	yrdc	yrdC N6-threonylcarbamoyltransferase domain containing
113031499	LOC113031499	uncharacterized LOC113031499
113031498	mtf1	metal regulatory transcription factor 1
113031500	inpp5b	inositol polyphosphate-5-phosphatase B%2C transcript variant X1
113032129	LOC113032129	uncharacterized LOC113032129
113031367	LOC113031367	uncharacterized LOC113031367
113032131	LOC113032131	cell wall protein DAN4-like
113032195	LOC113032195	CAP-Gly domain-containing linker protein 2-like%2C transcript variant X2
113032406	LOC113032406	endoribonuclease ZC3H12A-like
113032728	grik3	glutamate ionotropic receptor kainate type subunit 3%2C transcript variant X1
113032475	LOC113032475	uncharacterized LOC113032475
113032183	LOC113032183	uncharacterized LOC113032183
113032492	csf3r	colony stimulating factor 3 receptor
113032493	LOC113032493	uncharacterized LOC113032493
113032159	mrps15	mitochondrial ribosomal protein S15
113032160	LOC113032160	cornifelin homolog
113032158	oscp1	organic solute carrier partner 1%2C transcript variant X4
113031801	stk40	serine/threonine kinase 40%2C transcript variant X1
113032251	LOC113032251	uncharacterized LOC113032251%2C transcript variant X2
113032297	eva1b	eva-1 homolog B%2C transcript variant X1
113032449	sh3d21	SH3 domain containing 21
113032187	LOC113032187	thyroid hormone receptor-associated protein 3-like%2C transcript variant X3
113031795	LOC113031795	MAP7 domain-containing protein 1-like%2C transcript variant X5
113031861	LOC113031861	mitogen-activated protein kinase kinase kinase 5-like%2C transcript variant X3
113031837	snip1	Smad nuclear interacting protein 1
113031838	dnali1	dynein axonemal light intermediate chain 1
113031836	gnl2	G protein nucleolar 2
113032411	rspo1	R-spondin 1
113031661	fhl3	four and a half LIM domains 3
113032753	utp11	UTP11%2C small subunit processome component
113032756	pou3f1	POU class 3 homeobox 1
113032743	LOC113032743	uncharacterized LOC113032743%2C transcript variant X2
113032742	LOC113032742	uncharacterized LOC113032742
113031600	rragc	Ras related GTP binding C
113031602	LOC113031602	c-Myc-binding protein-like%2C transcript variant X2
113031601	rhbdl2	rhomboid like 2%2C transcript variant X1
113032288	akirin1	akirin 1
113032034	LOC113032034	cannabinoid receptor 2-like
113031740	LOC113031740	proline-rich nuclear receptor coactivator 2-like
113031739	LOC113031739	serine/arginine-rich splicing factor 10-like
113031482	LOC113031482	fatty acid-binding protein 10-A%2C liver basic-like
113031480	LOC113031480	myomesin-3-like%2C transcript variant X3
113031483	LOC113031483	uncharacterized LOC113031483%2C transcript variant X2
113031481	LOC113031481	uncharacterized LOC113031481
113031368	man1c1	mannosidase alpha class 1C member 1%2C transcript variant X1
113031979	slc9a1	solute carrier family 9 member A1%2C transcript variant X1
113032372	LOC113032372	protein FAM110C-like
113032453	LOC113032453	uncharacterized protein C1orf232-like%2C transcript variant X2
113032242	dhdds	dehydrodolichyl diphosphate synthase subunit
113032486	LOC113032486	protein argonaute-1
113032485	LOC113032485	protein argonaute-3%2C transcript variant X1
113032487	LOC113032487	uncharacterized LOC113032487
113032076	LOC113032076	uncharacterized LOC113032076%2C transcript variant X5
113032075	LOC113032075	uncharacterized LOC113032075
113032206	LOC113032206	free fatty acid receptor 2-like
113031484	iglon5	IgLON family member 5
113032345	LOC113032345	uncharacterized LOC113032345
113031942	LOC113031942	hepcidin-like
113031943	LOC113031943	upstream stimulatory factor 2-like%2C transcript variant X2
113032593	etfb	electron transfer flavoprotein subunit beta
113032284	vsig10l	V-set and immunoglobulin domain containing 10 like%2C transcript variant X1
113032149	LOC113032149	lens fiber membrane intrinsic protein-like%2C transcript variant X1
113032648	LOC113032648	free fatty acid receptor 2-like
113032189	LOC113032189	free fatty acid receptor 2-like%2C transcript variant X1
113032641	LOC113032641	free fatty acid receptor 3-like
113031530	LOC113031530	sialic acid-binding Ig-like lectin 5
113031535	LOC113031535	sialic acid-binding Ig-like lectin 14
113031538	LOC113031538	B-cell receptor CD22-like
113032133	LOC113032133	B-cell receptor CD22-like
113031541	LOC113031541	A-agglutinin anchorage subunit-like
113031546	LOC113031546	alpha-lactalbumin-like
113031532	LOC113031532	probable serine/threonine-protein kinase MARK-A
113031537	LOC113031537	uncharacterized LOC113031537
113031540	LOC113031540	uncharacterized LOC113031540
113031547	LOC113031547	sialic acid-binding Ig-like lectin 10
113031527	LOC113031527	NLR family CARD domain-containing protein 3-like%2C transcript variant X2
113031534	LOC113031534	myelin-associated glycoprotein-like
113031531	xrcc1	X-ray repair cross complementing 1
113031536	LOC113031536	D(2) dopamine receptor A-like
113032134	LOC113032134	protein ZBED8-like
113031542	LOC113031542	transmembrane protease serine 5-like
113031539	LOC113031539	persulfide dioxygenase ETHE1%2C mitochondrial-like
113031545	LOC113031545	persulfide dioxygenase ETHE1%2C mitochondrial-like
113031543	LOC113031543	persulfide dioxygenase ETHE1%2C mitochondrial-like
113031529	phldb3	pleckstrin homology like domain family B member 3%2C transcript variant X3
113031528	LOC113031528	myelin-associated glycoprotein-like%2C transcript variant X2
113031526	LOC113031526	B-cell receptor CD22-like
113032393	LOC113032393	interferon-inducible GTPase 5-like
113032789	LOC113032789	sialic acid-binding Ig-like lectin 12%2C transcript variant X2
113032545	LOC113032545	sialic acid-binding Ig-like lectin 11%2C transcript variant X3
113032544	LOC113032544	sialic acid-binding Ig-like lectin 10%2C transcript variant X2
113032099	LOC113032099	sialic acid-binding Ig-like lectin 12
113032101	LOC113032101	sialic acid-binding Ig-like lectin 14
113032135	LOC113032135	uncharacterized LOC113032135
113032164	LOC113032164	vascular cell adhesion protein 1-like%2C transcript variant X6
113032858	LOC113032858	sialic acid-binding Ig-like lectin 5%2C transcript variant X2
113032246	mag	myelin associated glycoprotein%2C transcript variant X2
113031770	lsr	lipolysis stimulated lipoprotein receptor%2C transcript variant X1
113031772	LOC113031772	uncharacterized LOC113031772%2C transcript variant X5
113031771	LOC113031771	cyclin-dependent kinase 3-like%2C transcript variant X2
113031425	LOC113031425	neural-cadherin-like
113032810	LOC113032810	G1/S-specific cyclin-E2-like%2C transcript variant X1
113032299	tp53inp1	tumor protein p53 inducible nuclear protein 1
113031520	nagpa	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
113031521	ndufaf6	NADH:ubiquinone oxidoreductase complex assembly factor 6%2C transcript variant X1
113032309	LOC113032309	trace amine-associated receptor 6-like%2C transcript variant X2
113032902	trnat-agu	tRNA-Thr
113032647	LOC113032647	uncharacterized LOC113032647%2C transcript variant X1
113031506	plekhf2	pleckstrin homology and FYVE domain containing 2
113031797	wdr73	WD repeat domain 73%2C transcript variant X1
113032862	c11h8orf37	chromosome 11 C8orf37 homolog
113032907	trnas-aga	tRNA-Ser
113032690	cd83	CD83 molecule
113031335	LOC113031335	collagen alpha-1(XI) chain-like
113032628	snrnp48	small nuclear ribonucleoprotein U11/U12 subunit 48
113032369	LOC113032369	sorcin-like
113032368	LOC113032368	zinc finger BED domain-containing protein 1-like
113031908	LOC113031908	NACHT%2C LRR and PYD domains-containing protein 3-like
113031909	LOC113031909	atrial natriuretic peptide-converting enzyme-like
113032472	LOC113032472	protein S100-A12-like%2C transcript variant X1
113032169	rrnad1	ribosomal RNA adenine dimethylase domain containing 1
113032170	isg20l2	interferon stimulated exonuclease gene 20 like 2%2C transcript variant X3
113031879	LOC113031879	brevican core protein-like%2C transcript variant X1
113031881	LOC113031881	uncharacterized LOC113031881%2C transcript variant X4
113031880	LOC113031880	hyaluronan and proteoglycan link protein 2-like
113032410	LOC113032410	ammonium transporter Rh type B
113032281	LOC113032281	uncharacterized LOC113032281%2C transcript variant X5
113031762	mef2d	myocyte enhancer factor 2D%2C transcript variant X1
113032664	LOC113032664	nestin-like
113032294	LOC113032294	asialoglycoprotein receptor 1-like
113032385	LOC113032385	C-type lectin domain family 4 member G-like
113032138	LOC113032138	C-type lectin lectoxin-Phi1-like
113032139	LOC113032139	CD209 antigen-like protein E
113032258	LOC113032258	CD209 antigen-like protein E%2C transcript variant X3
113032261	LOC113032261	C-type lectin domain family 10 member A-like
113032259	LOC113032259	C-type lectin domain family 17%2C member A-like%2C transcript variant X1
113032122	capn7	calpain 7%2C transcript variant X1
113031940	sh3bp5	SH3 domain binding protein 5
113032726	LOC113032726	snaclec bothroinsularin subunit beta-like
113032427	mettl6	methyltransferase like 6
113032428	eaf1	ELL associated factor 1
113032009	bmper	BMP binding endothelial regulator%2C transcript variant X2
113031496	bbs9	Bardet-Biedl syndrome 9%2C transcript variant X5
113032908	trnap-agg	tRNA-Pro
113032909	trnap-agg	tRNA-Pro
113032215	nt5c3a	5'-nucleotidase%2C cytosolic IIIA%2C transcript variant X3
113031568	dctn3	dynactin subunit 3
113031567	atg5	autophagy related 5%2C transcript variant X1
113032611	prdm1	PR/SET domain 1%2C transcript variant X2
113032141	LOC113032141	toll-like receptor 2 type-1
113031438	LOC113031438	semaphorin-7A-like
113031439	LOC113031439	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1%2C transcript variant X1
113032203	LOC113032203	cathepsin K-like
113032063	LOC113032063	cathepsin S-like
113032064	LOC113032064	cathepsin K-like
113032328	LOC113032328	cathepsin S-like
113031648	hormad1	HORMA domain containing 1%2C transcript variant X2
113031649	LOC113031649	alpha-endosulfine
113031678	LOC113031678	induced myeloid leukemia cell differentiation protein Mcl-1 homolog
113031679	LOC113031679	uncharacterized LOC113031679
113031492	tmod4	tropomodulin 4%2C transcript variant X2
113031493	scnm1	sodium channel modifier 1
113031494	lysmd1	LysM domain containing 1
113031495	tnfaip8l2	TNF alpha induced protein 8 like 2
113031574	LOC113031574	semaphorin-6D-like%2C transcript variant X1
113032767	LOC113032767	cortexin-3-like
113031858	ptpn23	protein tyrosine phosphatase%2C non-receptor type 23%2C transcript variant X2
113031597	scap	SREBF chaperone%2C transcript variant X5
113031599	elp6	elongator acetyltransferase complex subunit 6
113032821	LOC113032821	uncharacterized LOC113032821%2C transcript variant X1
113031604	cspg5	chondroitin sulfate proteoglycan 5%2C transcript variant X5
113032777	LOC113032777	uncharacterized LOC113032777%2C transcript variant X5
113031747	smarcc1	SWI/SNF related%2C matrix associated%2C actin dependent regulator of chromatin subfamily c member 1%2C transcript variant X2
113032679	LOC113032679	fucolectin-5-like
113032680	LOC113032680	uncharacterized LOC113032680
113032682	LOC113032682	fucolectin-1-like
113032681	LOC113032681	uncharacterized LOC113032681
113032683	LOC113032683	fucolectin-1-like
113032678	LOC113032678	fucolectin-4-like
113032677	dpy19l1	dpy-19 like C-mannosyltransferase 1
113032137	LOC113032137	uncharacterized LOC113032137%2C transcript variant X3
113031697	tbx20	T-box 20%2C transcript variant X1
113031701	LOC113031701	uncharacterized LOC113031701
113031698	LOC113031698	homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein
113031699	LOC113031699	uncharacterized LOC113031699%2C transcript variant X2
113032457	LOC113032457	secretory phospholipase A2 receptor-like
113032598	ankmy2	ankyrin repeat and MYND domain containing 2
113032599	lrrc72	leucine rich repeat containing 72%2C transcript variant X3
113032198	sostdc1	sclerostin domain containing 1
113031805	ispd	isoprenoid synthase domain containing%2C transcript variant X1
113032566	meox2	mesenchyme homeobox 2
113032300	agmo	alkylglycerol monooxygenase
113031575	dgkb	diacylglycerol kinase beta
113032163	etv1	ETS variant 1
113032618	arl4a	ADP ribosylation factor like GTPase 4A%2C transcript variant X2
113032377	LOC113032377	piggyBac transposable element-derived protein 3-like
113032380	LOC113032380	uncharacterized LOC113032380
113032379	LOC113032379	mitotic apparatus protein p62-like%2C transcript variant X3
113032378	LOC113032378	uncharacterized LOC113032378%2C transcript variant X1
113032437	LOC113032437	uncharacterized LOC113032437
113032536	vwde	von Willebrand factor D and EGF domains
113032111	LOC113032111	von Willebrand factor D and EGF domain-containing protein-like
113032278	tmem106b	transmembrane protein 106B%2C transcript variant X1
113031811	thsd7a	thrombospondin type 1 domain containing 7A%2C transcript variant X2
113031813	LOC113031813	uncharacterized protein K02A2.6-like
113031817	LOC113031817	uncharacterized LOC113031817
113031815	LOC113031815	uncharacterized LOC113031815%2C transcript variant X5
113031814	LOC113031814	neurexophilin-1-like
113032591	LOC113032591	islet cell autoantigen 1-like%2C transcript variant X2
113031898	LOC113031898	glucocorticoid-induced transcript 1 protein-like%2C transcript variant X2
113032273	mios	meiosis regulator for oocyte development
113032272	col28a1	collagen type XXVIII alpha 1 chain%2C transcript variant X2
113032274	LOC113032274	uncharacterized LOC113032274%2C transcript variant X1
113032276	LOC113032276	protachykinin-like%2C transcript variant X2
113032275	LOC113032275	septin-7%2C transcript variant X2
113032674	nek10	NIMA related kinase 10
113032484	LOC113032484	retinoic acid receptor beta-like
113032386	LOC113032386	insertion element IS630 uncharacterized 39 kDa protein-like
113032912	trnad-auc	tRNA-Asp
113032913	trnav-aac	tRNA-Val
113032910	trnaq-uug	tRNA-Gln
113032914	trnad-guc	tRNA-Asp
113032892	trnav-aac	tRNA-Val
113032893	trnav-cac	tRNA-Val
113032911	trnaq-uug	tRNA-Gln
113032894	trnad-guc	tRNA-Asp
113032895	trnav-aac	tRNA-Val
113032896	trnav-cac	tRNA-Val
113031463	LOC113031463	nuclear receptor subfamily 1 group D member 2-like
113031464	LOC113031464	ubiquitin-conjugating enzyme E2 E1-like%2C transcript variant X2
113031613	LOC113031613	ubiquitin-conjugating enzyme E2 E2%2C transcript variant X1
113031614	LOC113031614	uncharacterized LOC113031614
113032868	znf385d	zinc finger protein 385D
113032232	LOC113032232	ras-related protein Rab-5A-like
113032231	efhb	EF-hand domain family member B
113032775	LOC113032775	m-AAA protease-interacting protein 1%2C mitochondrial-like
113031620	satb1	SATB homeobox 1%2C transcript variant X1
113031433	LOC113031433	inactive phospholipase C-like protein 2
113032403	LOC113032403	cysteine-rich venom protein-like
113032402	LOC113032402	raftlin-like%2C transcript variant X1
113032179	vmo1	vitelline membrane outer layer 1 homolog
113032243	LOC113032243	bromodomain-containing protein 2-like%2C transcript variant X6
113032562	tap1	transporter 1%2C ATP binding cassette subfamily B member%2C transcript variant X2
113032408	LOC113032408	uncharacterized LOC113032408%2C transcript variant X1
113032407	LOC113032407	neurogenic locus notch homolog protein 1-like
113032293	LOC113032293	transcription factor HES-7-like
113032748	LOC113032748	NACHT%2C LRR and PYD domains-containing protein 1b allele 5-like%2C transcript variant X2
113032841	LOC113032841	uncharacterized LOC113032841%2C transcript variant X2
113031964	LOC113031964	transcription factor HES-7-like
113031962	LOC113031962	pre-B-cell leukemia transcription factor 1-like
113031963	LOC113031963	uncharacterized LOC113031963%2C transcript variant X1
113031590	dnase2	deoxyribonuclease 2%2C lysosomal
113031588	LOC113031588	ral guanine nucleotide dissociation stimulator-like 2%2C transcript variant X3
113032552	LOC113032552	PHD finger protein 1-like%2C transcript variant X2
113032204	LOC113032204	ras/Rap GTPase-activating protein SynGAP-like%2C transcript variant X3
113032704	smg5	SMG5%2C nonsense mediated mRNA decay factor
113032706	LOC113032706	membrane progestin receptor delta-like%2C transcript variant X1
113032705	ntrk1	neurotrophic receptor tyrosine kinase 1%2C transcript variant X2
113032673	rbm8a	RNA binding motif protein 8A%2C transcript variant X1
113031519	otud7b	OTU deubiquitinase 7B%2C transcript variant X1
113031693	mtmr11	myotubularin related protein 11
113031859	LOC113031859	synaptic vesicle glycoprotein 2A-like
113032032	bola1	bolA family member 1
113031864	LOC113031864	nuclear receptor subfamily 2 group F member 5
113031865	LOC113031865	uncharacterized LOC113031865%2C transcript variant X2
113031863	LOC113031863	interleukin-21 receptor-like
113031969	LOC113031969	interleukin-21 receptor-like%2C transcript variant X3
113031687	LOC113031687	uncharacterized LOC113031687
113031689	LOC113031689	uncharacterized LOC113031689
113031690	LOC113031690	uncharacterized LOC113031690
113031688	LOC113031688	uncharacterized LOC113031688
113032047	LOC113032047	uncharacterized LOC113032047
113032049	LOC113032049	uncharacterized LOC113032049
113031408	LOC113031408	putative ferric-chelate reductase 1
113031410	LOC113031410	girdin-like%2C transcript variant X1
113032845	LOC113032845	putative ferric-chelate reductase 1
113031414	LOC113031414	uncharacterized LOC113031414
113031412	LOC113031412	girdin-like
113031413	LOC113031413	putative ferric-chelate reductase 1
113031411	LOC113031411	girdin-like%2C transcript variant X1
113032031	LOC113032031	uncharacterized LOC113032031
113032021	LOC113032021	putative ferric-chelate reductase 1%2C transcript variant X2
113032028	LOC113032028	uncharacterized LOC113032028%2C transcript variant X2
113032846	LOC113032846	uncharacterized LOC113032846
113032027	LOC113032027	membrane-spanning 4-domains subfamily A member 8-like%2C transcript variant X4
113032029	LOC113032029	uncharacterized LOC113032029
113032026	LOC113032026	high affinity immunoglobulin epsilon receptor subunit beta-like%2C transcript variant X1
113032847	LOC113032847	uncharacterized LOC113032847
113032025	LOC113032025	transmembrane protein 176B-like
113032024	LOC113032024	uncharacterized LOC113032024
113032848	LOC113032848	uncharacterized protein K02A2.6-like
113032023	LOC113032023	transmembrane protein 176B-like
113032798	LOC113032798	uncharacterized LOC113032798
113032774	lamtor2	late endosomal/lysosomal adaptor%2C MAPK and MTOR activator 2
113031622	rab25	RAB25%2C member RAS oncogene family
113031621	LOC113031621	ras-related protein Rab-11A-like
113032085	mex3a	mex-3 RNA binding family member A
113032564	lmna	lamin A/C%2C transcript variant X5
113032563	LOC113032563	platelet endothelial aggregation receptor 1-like
113032639	gpatch4	G-patch domain containing 4
113032640	LOC113032640	C-type lectin domain family 1 member B-like
113032614	LOC113032614	CD209 antigen-like protein C%2C transcript variant X2
113032615	LOC113032615	tetraspanin-13-like
113031594	LOC113031594	large proline-rich protein BAG6-like%2C transcript variant X2
113031596	apom	apolipoprotein M%2C transcript variant X4
113031595	glrx3	glutaredoxin 3
113031354	LOC113031354	uncharacterized LOC113031354%2C transcript variant X1
113031642	LOC113031642	tumor necrosis factor-like
113031638	LOC113031638	gamma-aminobutyric acid type B receptor subunit 1-like%2C transcript variant X8
113031641	LOC113031641	SH3 domain-binding protein 5-like
113031640	mgat1	mannosyl (alpha-1%2C3-)-glycoprotein beta-1%2C2-N-acetylglucosaminyltransferase
113032576	LOC113032576	uncharacterized LOC113032576
113032826	LOC113032826	RING finger protein 225-like%2C transcript variant X2
113031915	dhx16	DEAH-box helicase 16
113031891	LOC113031891	uncharacterized LOC113031891
113031889	LOC113031889	cingulin-like%2C transcript variant X2
113032843	ccdc105	coiled-coil domain containing 105
113032200	LOC113032200	sperm acrosome membrane-associated protein 4-like
113031884	LOC113031884	zona pellucida sperm-binding protein 3-like%2C transcript variant X1
113031885	LOC113031885	retroviral integration site protein Fli-1 homolog%2C transcript variant X5
113031664	LOC113031664	protein c-ets-1-B-like%2C transcript variant X1
113031667	LOC113031667	apoptosis-associated speck-like protein containing a CARD%2C transcript variant X1
113031668	LOC113031668	apoptosis-associated speck-like protein containing a CARD
113031662	LOC113031662	uncharacterized LOC113031662
113031663	LOC113031663	caspase recruitment domain-containing protein 8-like%2C transcript variant X2
113031669	LOC113031669	uncharacterized LOC113031669
113031665	LOC113031665	uncharacterized LOC113031665%2C transcript variant X3
113032722	LOC113032722	apoptosis-associated speck-like protein containing a CARD%2C transcript variant X2
113032721	LOC113032721	uncharacterized LOC113032721
113032849	LOC113032849	apoptosis-associated speck-like protein containing a CARD
113032834	LOC113032834	uncharacterized LOC113032834%2C transcript variant X2
113032836	LOC113032836	uncharacterized LOC113032836
113032850	LOC113032850	uncharacterized LOC113032850
113032832	LOC113032832	uncharacterized LOC113032832
113032831	LOC113032831	NACHT%2C LRR and PYD domains-containing protein 1b allele 1-like%2C transcript variant X3
113032835	LOC113032835	uncharacterized LOC113032835
113032214	LOC113032214	uncharacterized LOC113032214
113031775	LOC113031775	uncharacterized LOC113031775
113031773	LOC113031773	caspase recruitment domain-containing protein 8-like%2C transcript variant X4
113032852	LOC113032852	uncharacterized LOC113032852
113032698	dnajc28	DnaJ heat shock protein family (Hsp40) member C28
113032689	LOC113032689	sodium channel subunit beta-1-like
113032864	gramd1a	GRAM domain containing 1A%2C transcript variant X2
113032865	LOC113032865	sodium channel subunit beta-1-like%2C transcript variant X2
113032304	LOC113032304	uncharacterized LOC113032304
113032308	psmc4	proteasome 26S subunit%2C ATPase 4%2C transcript variant X1
113031743	LOC113031743	beta-1%2C4-galactosyltransferase 3-like%2C transcript variant X1
113032807	LOC113032807	uncharacterized LOC113032807%2C transcript variant X2
113032433	LOC113032433	uncharacterized LOC113032433
113032360	LOC113032360	hemojuvelin-like%2C transcript variant X4
113031977	thbs3	thrombospondin 3%2C transcript variant X1
113032236	LOC113032236	metaxin-1-like
113032244	LOC113032244	uncharacterized LOC113032244%2C transcript variant X2
113032130	LOC113032130	myeloid cell surface antigen CD33-like%2C transcript variant X1
113032180	LOC113032180	leucine-rich repeats and immunoglobulin-like domains protein 1
113031363	LOC113031363	methyltransferase-like protein 27
113032853	LOC113032853	macrophage mannose receptor 1-like
113032381	syt11	synaptotagmin 11
113031752	LOC113031752	perilipin-2-like
113031753	LOC113031753	ras-like protein family member 11B
113031751	LOC113031751	E3 ubiquitin-protein ligase TRIM33-like%2C transcript variant X1
113032533	LOC113032533	macrophage mannose receptor 1-like
113032854	LOC113032854	uncharacterized LOC113032854
113032342	LOC113032342	uncharacterized LOC113032342
113032339	LOC113032339	C-type mannose receptor 2-like%2C transcript variant X5
113032341	LOC113032341	uncharacterized LOC113032341
113032218	dcst2	DC-STAMP domain containing 2%2C transcript variant X6
113032219	dcst1	DC-STAMP domain containing 1
113031798	adam15	ADAM metallopeptidase domain 15%2C transcript variant X1
113032532	LOC113032532	semaphorin-4B-like%2C transcript variant X2
113032754	LOC113032754	membrane-spanning 4-domains subfamily A member 4A-like%2C transcript variant X2
113032626	nudt17	nudix hydrolase 17%2C transcript variant X4
113032350	muc1	mucin 1%2C cell surface associated
113031886	tg	thyroglobulin%2C transcript variant X2
113031887	LOC113031887	uncharacterized LOC113031887
113032855	LOC113032855	C-type mannose receptor 2-like
113032109	LOC113032109	CKLF-like MARVEL transmembrane domain-containing protein 6%2C transcript variant X1
113031637	LOC113031637	copine-4-like%2C transcript variant X1
113032375	LOC113032375	serine/threonine-protein kinase Nek11-like
113032663	LOC113032663	uncharacterized LOC113032663
113032494	LOC113032494	CKLF-like MARVEL transmembrane domain-containing protein 7%2C transcript variant X2
113031361	LOC113031361	uncharacterized LOC113031361
113031359	LOC113031359	sialic acid-binding Ig-like lectin 15%2C transcript variant X1
113032307	LOC113032307	sialic acid-binding Ig-like lectin 15
113032736	LOC113032736	sialic acid-binding Ig-like lectin 15
113032734	LOC113032734	IgGFc-binding protein-like
113032733	LOC113032733	sodium bicarbonate cotransporter 3-like%2C transcript variant X1
113031819	LOC113031819	ectonucleotide pyrophosphatase/phosphodiesterase family member 7-like
113031820	mrps12	mitochondrial ribosomal protein S12%2C transcript variant X2
113031818	LOC113031818	zinc finger protein 850-like%2C transcript variant X4
113032729	tmem116	transmembrane protein 116
113032727	LOC113032727	gamma-aminobutyric acid type B receptor subunit 2-like%2C transcript variant X3
113031845	LOC113031845	ribonuclease P protein subunit p25-like protein%2C transcript variant X3
113031844	LOC113031844	collagen alpha-6(VI) chain-like%2C transcript variant X2
113032589	LOC113032589	uncharacterized LOC113032589
113032588	col6a6	collagen type VI alpha 6 chain%2C transcript variant X1
113032590	LOC113032590	uncharacterized LOC113032590
113032199	pik3r4	phosphoinositide-3-kinase regulatory subunit 4
113031660	atp2c1	ATPase secretory pathway Ca2+ transporting 1%2C transcript variant X1
113032861	LOC113032861	protein asteroid homolog 1-like
113032873	aldh5a1	aldehyde dehydrogenase 5 family member A1
113032872	LOC113032872	dyslexia-associated protein KIAA0319-like
113032870	dennd4b	DENN domain containing 4B%2C transcript variant X2
113031800	crtc2	CREB regulated transcription coactivator 2%2C transcript variant X3
113031383	slc39a1	solute carrier family 39 member 1%2C transcript variant X1
113031384	LOC113031384	histidine N-acetyltransferase-like%2C transcript variant X2
113031381	creb3l4	cAMP responsive element binding protein 3 like 4%2C transcript variant X3
113031382	LOC113031382	pleckstrin homology domain-containing family O member 1-like
113031458	LOC113031458	acidic leucine-rich nuclear phosphoprotein 32 family member E-like%2C transcript variant X2
113031457	LOC113031457	mothers against decapentaplegic homolog 4-like%2C transcript variant X3
113031459	LOC113031459	uncharacterized LOC113031459%2C transcript variant X5
113031910	frat2	FRAT2%2C WNT signaling pathway regulator
113032808	kcnv1	potassium voltage-gated channel modifier subfamily V member 1
113032460	LOC113032460	protein DEK-like%2C transcript variant X2
113031810	LOC113031810	atrial natriuretic peptide receptor 1-like%2C transcript variant X1
113031592	LOC113031592	retinol dehydrogenase 12-like
113031591	LOC113031591	piggyBac transposable element-derived protein 2-like
113032416	selenbp1	selenium binding protein 1%2C transcript variant X1
113032238	pi4kb	phosphatidylinositol 4-kinase beta%2C transcript variant X1
113032178	LOC113032178	unconventional myosin-Ie-like
113032571	LOC113032571	uncharacterized LOC113032571
113032570	prune1	prune exopolyphosphatase 1
113032625	LOC113032625	bcl-2/adenovirus E1B 19 kDa-interacting protein 2-like protein
113032616	LOC113032616	thioredoxin-interacting protein-like%2C transcript variant X1
113032642	LOC113032642	major histocompatibility complex class I-related gene protein-like%2C transcript variant X1
113032421	LOC113032421	uncharacterized LOC113032421
113032773	polr3gl	RNA polymerase III subunit G like%2C transcript variant X2
113032747	LOC113032747	immunoglobulin superfamily DCC subclass member 3-like%2C transcript variant X1
113031633	LOC113031633	gonadotropin-releasing hormone II receptor-like%2C transcript variant X3
113031632	ttc24	tetratricopeptide repeat domain 24%2C transcript variant X3
113031630	iqgap3	IQ motif containing GTPase activating protein 3%2C transcript variant X6
113032435	LOC113032435	membrane-spanning 4-domains subfamily A member 4A-like
113032619	ankrd34a	ankyrin repeat domain 34A%2C transcript variant X2
113032669	decr1	2%2C4-dienoyl-CoA reductase 1%2C transcript variant X4
113032671	pmvk	phosphomevalonate kinase%2C transcript variant X1
113032670	LOC113032670	tropomyosin alpha-3 chain-like%2C transcript variant X2
113032668	LOC113032668	rho guanine nucleotide exchange factor 2-like
113032710	tmem79	transmembrane protein 79%2C transcript variant X1
113031783	LOC113031783	GON-4-like protein
113031336	LOC113031336	uncharacterized LOC113031336%2C transcript variant X1
113033849	LOC113033849	uncharacterized LOC113033849%2C transcript variant X1
113033887	LOC113033887	uncharacterized LOC113033887
